epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1210.8,0.58457,0.27481,0.95403,0.70762,0.38483,0.45099,0.20129,0.55185,0.25994,0.96119,0.00854594,0.00854594,0.00854594
81,1223.5,0.57448,0.27492,0.94816,0.69931,0.38452,0.43709,0.19685,0.54778,0.25759,0.95694,0.00851109,0.00851109,0.00851109
82,1235.88,0.58116,0.27222,0.94631,0.69206,0.3746,0.43435,0.18268,0.59239,0.27144,0.9731,0.0084759,0.0084759,0.0084759
83,1248.3,0.57866,0.27433,0.94727,0.72791,0.38132,0.45011,0.20602,0.53697,0.2546,0.95808,0.00844039,0.00844039,0.00844039
84,1260.82,0.57806,0.27099,0.94809,0.6854,0.3688,0.43406,0.18818,0.57316,0.26455,0.96712,0.00840456,0.00840456,0.00840456
85,1272.91,0.57156,0.27138,0.94954,0.67417,0.37017,0.42754,0.1886,0.56821,0.26601,0.96531,0.00836841,0.00836841,0.00836841
86,1285.2,0.58084,0.27532,0.94121,0.72157,0.38492,0.45279,0.2037,0.54146,0.2477,0.95686,0.00833194,0.00833194,0.00833194
87,1297.65,0.57861,0.27195,0.94475,0.68255,0.38971,0.44472,0.19981,0.54735,0.2594,0.95943,0.00829517,0.00829517,0.00829517
88,1310.02,0.58444,0.27812,0.94303,0.71699,0.39261,0.45388,0.2059,0.53786,0.2494,0.95704,0.00825808,0.00825808,0.00825808
89,1322.35,0.57938,0.27487,0.94745,0.7047,0.38819,0.45399,0.20406,0.54667,0.25002,0.9583,0.0082207,0.0082207,0.0082207
90,1334.82,0.5802,0.27193,0.94798,0.6993,0.38553,0.44372,0.20021,0.54378,0.25658,0.95731,0.00818301,0.00818301,0.00818301
91,1347.25,0.56693,0.26431,0.94686,0.70825,0.39154,0.45255,0.21129,0.52496,0.24918,0.95272,0.00814503,0.00814503,0.00814503
92,1359.68,0.57228,0.26934,0.94601,0.71013,0.37396,0.43809,0.19722,0.55355,0.25412,0.96094,0.00810677,0.00810677,0.00810677
93,1371.7,0.55887,0.26749,0.9473,0.73249,0.38696,0.45465,0.21127,0.52566,0.25528,0.95248,0.00806821,0.00806821,0.00806821
94,1384.26,0.56216,0.26754,0.94498,0.69435,0.39215,0.45408,0.20482,0.54629,0.25576,0.9583,0.00802938,0.00802938,0.00802938
95,1396.72,0.57795,0.2696,0.9482,0.70496,0.38849,0.45483,0.2068,0.53993,0.2528,0.95599,0.00799026,0.00799026,0.00799026
96,1409.05,0.564,0.26556,0.94579,0.6894,0.37948,0.43878,0.19052,0.58181,0.26857,0.97277,0.00795088,0.00795088,0.00795088
97,1421.13,0.55793,0.26293,0.94278,0.69779,0.3975,0.46038,0.21003,0.53161,0.25206,0.95641,0.00791122,0.00791122,0.00791122
98,1433.16,0.57269,0.26967,0.94051,0.68218,0.37719,0.43653,0.18976,0.56459,0.26258,0.96454,0.0078713,0.0078713,0.0078713
99,1445.54,0.57013,0.26989,0.94209,0.70546,0.38757,0.45705,0.20608,0.54535,0.25186,0.95775,0.00783112,0.00783112,0.00783112
100,1457.79,0.57603,0.27123,0.93977,0.70562,0.39246,0.45223,0.20573,0.53645,0.25167,0.95431,0.00779069,0.00779069,0.00779069
101,1470.11,0.55856,0.26266,0.94129,0.69792,0.37811,0.4443,0.19911,0.56038,0.26637,0.96227,0.00775,0.00775,0.00775
102,1482.14,0.5601,0.26583,0.94374,0.71603,0.37918,0.44485,0.19606,0.5724,0.2604,0.96772,0.00770907,0.00770907,0.00770907
103,1494.33,0.56053,0.2603,0.94281,0.69836,0.37719,0.43838,0.18833,0.57305,0.26183,0.96461,0.00766789,0.00766789,0.00766789
104,1506.6,0.56563,0.264,0.94264,0.71234,0.38696,0.45438,0.2085,0.54099,0.25171,0.95897,0.00762648,0.00762648,0.00762648
105,1518.61,0.55312,0.25726,0.94343,0.70724,0.39109,0.45403,0.20782,0.53732,0.24659,0.95563,0.00758483,0.00758483,0.00758483
106,1530.96,0.5641,0.26271,0.943,0.71161,0.39136,0.46279,0.21759,0.53016,0.24438,0.95322,0.00754296,0.00754296,0.00754296
107,1543.22,0.55526,0.25864,0.94013,0.7114,0.39826,0.46716,0.21453,0.53919,0.24779,0.9575,0.00750086,0.00750086,0.00750086
108,1555.55,0.54803,0.25595,0.94257,0.71335,0.39689,0.46851,0.21674,0.52966,0.24444,0.95323,0.00745854,0.00745854,0.00745854
109,1567.71,0.55548,0.25909,0.94377,0.71461,0.39064,0.46342,0.20675,0.55727,0.25869,0.96164,0.00741601,0.00741601,0.00741601
110,1580.09,0.55775,0.25882,0.93853,0.72327,0.39109,0.45788,0.20769,0.55016,0.25192,0.95884,0.00737326,0.00737326,0.00737326
111,1592.43,0.55718,0.2598,0.93982,0.72923,0.38574,0.46392,0.21094,0.54039,0.24949,0.95654,0.00733031,0.00733031,0.00733031
112,1604.91,0.5547,0.25635,0.94097,0.70673,0.39979,0.4705,0.21774,0.52807,0.24488,0.95569,0.00728717,0.00728717,0.00728717
113,1617.13,0.55263,0.25509,0.93925,0.72478,0.39017,0.47186,0.21941,0.53107,0.24671,0.95389,0.00724382,0.00724382,0.00724382
114,1629.49,0.55063,0.2548,0.93753,0.71338,0.38681,0.46012,0.21105,0.54603,0.24734,0.95769,0.00720028,0.00720028,0.00720028
